FrameNumber,Status,CentroidX,CentroidY,RectX,RectY,RectW,RectH
0,FirstFrame,219,113,196,93,47,41
1,Background,219,113,196,93,47,41
2,Background,219,113,196,93,47,41
3,Background,219,113,196,93,47,41
4,Background,219,113,196,93,47,41
5,Background,219,113,196,93,47,41
6,Background,219,113,196,93,47,41
7,Background,219,113,196,93,47,41
8,Background,219,113,196,93,47,41
9,Background,219,113,196,93,47,41
10,OK,219,113,196,93,47,41
11,OK,238,110,209,81,40,40
12,OK,224,110,161,66,104,69
13,OK,248,109,198,65,81,69
14,OK,266,109,201,63,106,74
15,OK,278,111,208,64,110,73
16,OK,269,110,177,63,151,75
17,OK,292,117,215,77,123,61
18,OK,310,118,242,69,106,69
19,OK,319,120,247,77,110,61
20,OK,338,119,288,77,76,62
21,OK,330,115,255,63,116,76
22,OK,339,114,268,64,109,76
23,OK,356,119,305,77,79,63
24,OK,353,121,281,78,109,62
25,OK,358,121,288,78,108,62